Year,Date ,Block,TRT,Height,Leaf,TSSM,TSSME,PredM,PredE,StethL,StethE,Aphid,Anystid
2021,05/13/21,II,1,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,13,2,4,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,14,1,13,0,0,0,0,1,0
2021,05/13/21,II,1,Lower,15,0,0,0,0,0,0,2,0
2021,05/13/21,II,1,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,20,1,0,0,0,0,0,2,0
2021,05/13/21,III,1,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,2,2,7,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,3,0,0,0,0,0,0,3,0
2021,05/13/21,III,1,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,5,1,1,0,0,0,0,0,1
2021,05/13/21,III,1,Lower,6,0,0,0,0,0,0,0,1
2021,05/13/21,III,1,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,9,2,1,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,13,0,0,0,0,0,0,4,0
2021,05/13/21,III,1,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,16,1,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,17,0,0,0,0,0,0,1,0
2021,05/13/21,III,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,III,1,Lower,20,1,2,0,0,0,0,3,0
2021,05/13/21,IV,1,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,2,1,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,3,2,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,4,0,0,0,0,0,0,1,0
2021,05/13/21,IV,1,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,7,0,0,0,0,0,0,1,0
2021,05/13/21,IV,1,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,10,0,0,0,0,0,0,1,0
2021,05/13/21,IV,1,Lower,11,0,0,0,0,0,0,7,0
2021,05/13/21,IV,1,Lower,12,0,0,0,0,0,0,2,0
2021,05/13/21,IV,1,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,14,1,5,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,16,1,2,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,17,2,19,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,IV,1,Lower,19,0,0,0,0,0,0,0,1
2021,05/13/21,IV,1,Lower,20,0,0,0,0,0,0,0,1
2021,05/13/21,V,1,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,2,1,1,0,0,0,0,0,1
2021,05/13/21,V,1,Lower,3,1,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,5,0,0,0,0,0,0,1,0
2021,05/13/21,V,1,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,7,1,2,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,15,1,1,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,V,1,Lower,19,2,11,0,0,0,0,2,0
2021,05/13/21,V,1,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,1,1,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,2,1,7,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,3,1,5,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,4,0,0,0,0,0,0,1,0
2021,05/13/21,VI,1,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,7,0,0,0,0,0,0,1,0
2021,05/13/21,VI,1,Lower,8,2,4,0,0,0,0,7,0
2021,05/13/21,VI,1,Lower,9,9,3,0,0,0,0,3,0
2021,05/13/21,VI,1,Lower,10,1,0,0,0,0,0,1,0
2021,05/13/21,VI,1,Lower,11,1,4,0,0,0,0,0,1
2021,05/13/21,VI,1,Lower,12,6,55,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,13,1,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,14,1,0,0,0,0,0,5,0
2021,05/13/21,VI,1,Lower,15,0,5,0,0,0,0,8,0
2021,05/13/21,VI,1,Lower,16,2,0,0,0,0,0,12,0
2021,05/13/21,VI,1,Lower,17,1,0,0,0,0,0,3,0
2021,05/13/21,VI,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,VI,1,Lower,19,1,0,0,0,0,0,1,0
2021,05/13/21,VI,1,Lower,20,1,0,0,0,0,0,1,1
2021,05/13/21,VII,1,Lower,1,0,0,0,0,0,0,1,0
2021,05/13/21,VII,1,Lower,2,3,0,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,4,5,0,0,0,0,0,0,1
2021,05/13/21,VII,1,Lower,5,1,1,0,0,0,1,1,0
2021,05/13/21,VII,1,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,7,2,7,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,8,26,53,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,9,6,25,1,0,0,0,0,0
2021,05/13/21,VII,1,Lower,10,1,0,0,0,0,1,0,0
2021,05/13/21,VII,1,Lower,11,5,2,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,12,3,0,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,13,3,12,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,14,1,2,0,0,0,0,1,0
2021,05/13/21,VII,1,Lower,15,0,0,0,0,0,0,6,0
2021,05/13/21,VII,1,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,17,1,8,0,0,0,0,1,0
2021,05/13/21,VII,1,Lower,18,1,14,0,0,0,0,0,0
2021,05/13/21,VII,1,Lower,19,2,0,0,0,0,0,2,0
2021,05/13/21,VII,1,Lower,20,3,7,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,2,3,15,0,0,0,1,0,0
2021,05/13/21,VIII,1,Lower,3,1,1,0,0,0,0,4,0
2021,05/13/21,VIII,1,Lower,4,1,2,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,5,2,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,6,0,0,0,0,0,0,11,0
2021,05/13/21,VIII,1,Lower,7,2,2,0,0,0,0,3,0
2021,05/13/21,VIII,1,Lower,8,0,1,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,9,5,18,0,0,0,1,0,0
2021,05/13/21,VIII,1,Lower,10,7,12,0,0,0,0,4,0
2021,05/13/21,VIII,1,Lower,11,1,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,12,1,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,13,1,2,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,14,0,1,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,16,1,0,0,0,0,0,1,0
2021,05/13/21,VIII,1,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,18,0,1,0,0,0,0,0,0
2021,05/13/21,VIII,1,Lower,19,0,0,0,0,0,0,1,0
2021,05/13/21,VIII,1,Lower,20,2,3,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,2,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,11,0,0,0,0,0,0,1,0
2021,05/13/21,I,2,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,16,1,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,I,2,Lower,20,0,0,0,0,0,0,1,0
2021,05/13/21,II,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,2,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,3,1,0,0,0,0,0,1,0
2021,05/13/21,II,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,8,0,0,1,0,0,0,0,0
2021,05/13/21,II,2,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,10,0,0,0,0,0,0,3,0
2021,05/13/21,II,2,Lower,11,2,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,14,1,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,17,1,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,18,1,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,II,2,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,2,0,2,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,8,1,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,9,0,0,0,0,0,0,1,0
2021,05/13/21,III,2,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,13,2,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,15,1,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,16,1,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,17,0,0,0,0,0,1,1,0
2021,05/13/21,III,2,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,III,2,Lower,19,0,0,0,0,0,0,1,0
2021,05/13/21,III,2,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,2,12,0,0,0,0,0,1,0
2021,05/13/21,IV,2,Lower,3,4,1,0,0,0,1,1,0
2021,05/13/21,IV,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,5,2,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,8,3,0,0,0,0,0,1,0
2021,05/13/21,IV,2,Lower,9,0,0,0,0,0,0,2,0
2021,05/13/21,IV,2,Lower,10,0,0,0,0,0,1,1,0
2021,05/13/21,IV,2,Lower,11,2,0,0,0,0,0,1,0
2021,05/13/21,IV,2,Lower,12,0,0,0,0,0,2,0,0
2021,05/13/21,IV,2,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,14,0,0,0,0,0,0,5,0
2021,05/13/21,IV,2,Lower,15,6,0,0,0,0,0,10,0
2021,05/13/21,IV,2,Lower,16,2,2,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,17,0,2,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,18,3,0,1,0,0,0,7,0
2021,05/13/21,IV,2,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,IV,2,Lower,20,3,0,0,0,0,0,5,0
2021,05/13/21,V,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,2,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,7,0,0,0,0,0,0,3,0
2021,05/13/21,V,2,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,9,0,0,0,0,0,0,1,0
2021,05/13/21,V,2,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,13,1,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,17,1,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,V,2,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,1,0,0,0,0,0,0,1,0
2021,05/13/21,VI,2,Lower,2,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,4,0,0,0,0,0,0,1,0
2021,05/13/21,VI,2,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,7,0,0,0,0,0,0,10,0
2021,05/13/21,VI,2,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,9,2,20,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,10,1,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,12,1,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,13,1,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,14,4,9,0,0,0,0,1,0
2021,05/13/21,VI,2,Lower,15,0,0,0,0,0,0,7,0
2021,05/13/21,VI,2,Lower,16,2,1,0,0,0,0,1,0
2021,05/13/21,VI,2,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,VI,2,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,1,2,0,0,0,0,0,2,0
2021,05/13/21,VII,2,Lower,2,3,7,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,3,2,10,2,0,0,0,9,0
2021,05/13/21,VII,2,Lower,4,1,0,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,5,1,4,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,6,1,0,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,7,5,2,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,8,0,0,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,9,1,0,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,10,2,0,0,0,0,0,2,0
2021,05/13/21,VII,2,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,12,1,0,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,13,1,0,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,14,1,0,0,0,0,0,1,0
2021,05/13/21,VII,2,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,VII,2,Lower,16,2,0,0,0,0,0,1,2
2021,05/13/21,VII,2,Lower,17,1,4,0,0,0,1,0,0
2021,05/13/21,VII,2,Lower,18,0,0,0,0,0,0,2,0
2021,05/13/21,VII,2,Lower,19,0,0,0,0,0,0,0,1
2021,05/13/21,VII,2,Lower,20,1,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,2,1,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,5,0,0,0,0,0,0,1,0
2021,05/13/21,VIII,2,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,7,4,10,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,8,1,2,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,9,2,0,0,0,0,0,6,0
2021,05/13/21,VIII,2,Lower,10,0,0,0,0,0,0,1,0
2021,05/13/21,VIII,2,Lower,11,1,19,0,0,0,0,1,0
2021,05/13/21,VIII,2,Lower,12,0,0,0,0,0,0,1,0
2021,05/13/21,VIII,2,Lower,13,0,0,0,0,0,0,0,1
2021,05/13/21,VIII,2,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,15,4,6,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,16,0,2,0,0,0,0,1,0
2021,05/13/21,VIII,2,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,19,2,1,0,0,0,0,0,0
2021,05/13/21,VIII,2,Lower,20,1,0,0,0,0,0,1,0
2021,05/13/21,I,3,Lower,1,1,4,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,2,1,2,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,3,1,10,0,0,0,1,0,0
2021,05/13/21,I,3,Lower,4,2,1,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,7,0,0,0,0,0,0,4,0
2021,05/13/21,I,3,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,10,0,0,0,0,0,0,0,1
2021,05/13/21,I,3,Lower,11,2,3,0,0,0,0,2,0
2021,05/13/21,I,3,Lower,12,1,6,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,13,0,1,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,14,2,19,0,0,0,0,0,1
2021,05/13/21,I,3,Lower,15,2,4,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,17,0,0,0,0,0,0,7,0
2021,05/13/21,I,3,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,19,0,0,0,0,0,0,0,0
2021,05/13/21,I,3,Lower,20,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,1,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,2,2,18,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,4,1,2,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,7,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,9,1,0,0,0,0,0,1,0
2021,05/13/21,II,3,Lower,10,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,12,0,0,0,0,0,0,2,0
2021,05/13/21,II,3,Lower,13,0,0,0,0,0,0,0,1
2021,05/13/21,II,3,Lower,14,0,0,0,0,0,0,2,0
2021,05/13/21,II,3,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,16,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,19,1,3,0,0,0,0,0,0
2021,05/13/21,II,3,Lower,20,0,0,0,0,0,0,4,0
2021,05/13/21,III,3,Lower,1,1,7,0,0,0,0,3,0
2021,05/13/21,III,3,Lower,2,0,0,0,0,0,0,1,0
2021,05/13/21,III,3,Lower,3,0,0,0,0,0,0,10,0
2021,05/13/21,III,3,Lower,4,3,4,0,0,0,0,3,0
2021,05/13/21,III,3,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,6,0,2,0,0,0,0,1,0
2021,05/13/21,III,3,Lower,7,0,0,0,0,0,0,2,0
2021,05/13/21,III,3,Lower,8,1,4,0,0,0,0,2,0
2021,05/13/21,III,3,Lower,9,1,3,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,10,0,0,0,0,0,0,1,0
2021,05/13/21,III,3,Lower,11,0,0,0,0,0,0,1,0
2021,05/13/21,III,3,Lower,12,0,0,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,13,0,0,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,14,0,4,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,15,0,5,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,16,0,7,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,17,0,0,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,18,0,4,0,0,0,0,2,0
2021,05/13/21,III,3,Lower,19,1,11,0,0,0,0,0,0
2021,05/13/21,III,3,Lower,20,1,1,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,1,0,0,0,0,0,0,1,0
2021,05/13/21,IV,3,Lower,2,1,1,0,0,0,0,1,0
2021,05/13/21,IV,3,Lower,3,0,0,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,4,0,0,0,0,0,0,1,0
2021,05/13/21,IV,3,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,7,2,2,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,8,2,8,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,9,0,0,0,0,0,0,0,0
2021,05/13/21,IV,3,Lower,10,0,0,0,0,0,0,0,0
