Year,Date,Block,Treatment,Strings,DM,_Alpha,_Beta,HSI,Dry_Yield,Alpha_Yield,Color
2023,08/22/23,VI,2,24,0.217,3.41,3.27,0.2855,0.103388688,0.003523486,10
2023,08/22/23,VII,2,24,0.213,3.57,3.54,0.2775,0.087435131,0.003125369,10
2023,08/22/23,VIII,2,24,0.228,2.93,3.05,0.315,0.112591655,0.003294432,10
2023,08/22/23,I,3,24,0.225,3.24,3.33,0.3105,0.109723681,0.003554499,10
2023,08/22/23,II,3,20,0.213,3.71,3.56,0.2945,0.109714022,0.00407423,10
2023,08/22/23,III,3,24,0.246,3.17,3.16,0.301,0.107922788,0.00342439,10
2023,08/22/23,IV,3,20,0.237,3.34,3.3,0.305,0.106064172,0.003542013,10
2023,08/22/23,V,3,24,0.233,2.97,3.06,0.3065,0.107802036,0.003206033,10
2023,08/22/23,VI,3,24,0.222,3.4,3.17,0.298,0.09544422,0.003249398,10
2023,08/22/23,VII,3,24,0.247,2.98,3.07,0.314,0.09709654,0.002895419,10
2023,08/22/23,VIII,3,24,0.212,3.6,3.38,0.3055,0.099120492,0.003568833,10
