Year,Date,Rep,TRT,Shakes,LBAdult,Psyllabora,LBL,StethA,StethL,MPA,MPN,HoverFly,LWL,Spiders,Anystid,Hymenop,Diabrotica,DBANymph,Nabid,LooperL,Hemiptera,StripedThrips
2021,06/18/21,VIII,3,4,0,0,2,0,0,0,0,0,0,2,11,0,1,0,0,0,0,0
2021,06/30/21,I,1,4,0,0,1,1,1,4,4,0,0,3,5,0,0,0,0,2,0,0
2021,06/30/21,I,2,4,0,0,0,3,0,0,0,0,0,0,7,1,0,0,1,1,0,0
2021,06/30/21,I,3,3,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,0,0,0
2021,06/30/21,II,1,3,1,1,0,0,0,1,1,0,0,0,17,0,0,0,0,4,0,0
2021,06/30/21,II,2,4,1,0,1,0,0,1,1,0,0,3,3,0,0,0,0,1,0,0
2021,06/30/21,II,3,4,1,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0
2021,06/30/21,III,1,4,0,1,1,0,0,3,3,0,0,3,18,0,0,0,0,1,0,0
2021,06/30/21,III,2,3,1,0,0,1,0,5,5,0,4,2,7,0,0,0,1,0,0,0
2021,06/30/21,III,3,3,1,0,0,6,0,3,3,0,0,1,6,0,0,0,0,0,0,0
2021,06/30/21,IV,1,3,0,1,0,0,0,4,4,0,0,3,14,0,0,0,0,2,0,0
2021,06/30/21,IV,2,4,1,0,0,9,0,5,5,0,1,1,6,0,0,0,0,2,0,0
2021,06/30/21,IV,3,4,0,1,0,4,0,3,3,0,0,5,4,0,0,0,0,0,0,0
2021,06/30/21,V,1,4,0,0,1,2,0,4,1,0,0,4,10,1,0,0,0,1,0,0
2021,06/30/21,V,2,4,1,0,0,2,0,4,0,0,0,0,10,0,0,0,0,2,0,0
2021,06/30/21,V,3,4,1,1,0,10,0,2,0,0,0,2,7,0,0,0,0,0,0,0
2021,06/30/21,VI,1,4,0,0,0,2,1,3,2,0,0,2,9,0,0,0,0,2,0,1
2021,06/30/21,VI,2,4,0,0,0,4,0,7,0,0,4,1,3,1,0,0,1,1,0,0
2021,06/30/21,VI,3,4,0,1,1,4,0,2,0,0,1,2,9,0,0,0,0,0,0,0
2021,06/30/21,VII,1,4,1,1,0,2,0,13,1,0,1,1,11,0,0,0,0,1,0,0
2021,06/30/21,VII,2,4,0,2,0,2,0,7,0,0,3,2,7,0,0,0,0,2,0,0
2021,06/30/21,VII,3,4,1,0,0,5,0,6,0,0,3,0,3,0,0,0,0,0,0,0
2021,06/30/21,VIII,1,4,1,1,0,5,0,3,6,0,0,16,16,0,0,0,0,3,0,0
2021,06/30/21,VIII,2,4,3,0,1,3,0,4,0,0,3,3,3,0,0,0,0,0,0,0
2021,06/30/21,VIII,3,4,0,0,1,7,0,4,0,0,1,1,1,0,0,0,0,0,0,0
2021,07/14/21,I,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
2021,07/14/21,I,2,4,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,20,0,0
2021,07/14/21,I,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,07/14/21,II,1,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,17,0,0
2021,07/14/21,II,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,13,0,0
2021,07/14/21,II,3,3,0,0,0,1,3,3,0,0,0,2,0,0,0,0,0,7,0,0
2021,07/14/21,III,1,4,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,12,0,0
2021,07/14/21,III,2,3,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,20,0,0
2021,07/14/21,III,3,4,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,4,0,0
2021,07/14/21,IV,1,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,9,0,0
2021,07/14/21,IV,2,4,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,10,0,0
2021,07/14/21,IV,3,3,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,13,0,0
2021,07/14/21,V,1,4,1,0,0,1,0,2,3,0,0,0,8,0,0,0,0,17,0,0
2021,07/14/21,V,2,4,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,11,0,0
2021,07/14/21,V,3,4,0,0,0,0,0,1,0,0,2,5,4,0,0,0,0,12,0,0
2021,07/14/21,VI,1,4,1,0,0,0,0,0,0,0,0,5,6,0,1,0,0,11,0,0
2021,07/14/21,VI,2,4,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,8,0,0
2021,07/14/21,VI,3,4,0,0,0,0,1,11,0,0,2,8,0,0,0,0,0,12,0,0
2021,07/14/21,VII,1,4,0,0,0,1,0,4,1,0,3,7,8,0,0,0,0,10,0,0
2021,07/14/21,VII,2,4,0,0,0,1,0,0,0,0,2,4,5,0,0,0,0,10,0,0
2021,07/14/21,VII,3,4,0,0,0,0,3,4,0,0,2,4,3,0,0,0,0,10,0,0
2021,07/14/21,VIII,1,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0
2021,07/14/21,VIII,2,4,0,0,0,0,2,1,0,0,0,3,1,0,0,0,0,15,0,0
2021,07/14/21,VIII,3,4,0,1,0,0,0,6,0,0,0,1,1,0,0,0,0,19,0,0
2021,07/28/21,I,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0
2021,07/28/21,I,2,4,0,0,0,3,0,0,0,0,0,4,7,0,0,0,0,10,0,0
2021,07/28/21,I,3,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0
2021,07/28/21,II,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,12,0,0
2021,07/28/21,II,2,3,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,8,0,0
2021,07/28/21,II,3,3,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,12,0,0
2021,07/28/21,III,1,4,1,0,0,1,0,0,0,0,1,3,3,0,0,0,0,16,0,0
2021,07/28/21,III,2,3,0,0,0,1,0,0,1,0,1,2,10,0,0,0,0,9,0,0
2021,07/28/21,III,3,4,0,0,0,1,0,0,0,0,1,4,2,0,0,0,0,7,0,0
2021,07/28/21,IV,1,3,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,12,0,0
2021,07/28/21,IV,2,4,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,0
2021,07/28/21,IV,3,3,1,0,0,1,0,0,0,0,1,2,3,0,0,0,0,5,0,0
2021,07/28/21,V,1,4,1,0,0,2,0,0,0,0,0,2,2,0,1,0,0,13,0,0
2021,07/28/21,V,2,4,1,0,0,2,0,0,0,0,0,2,4,0,0,0,0,4,0,0
2021,07/28/21,V,3,4,0,0,0,2,0,1,1,0,0,2,1,0,0,0,0,3,0,0
2021,07/28/21,VI,1,4,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,7,0,0
2021,07/28/21,VI,2,4,0,0,0,3,0,0,0,0,2,4,1,0,0,0,0,7,0,0
2021,07/28/21,VI,3,4,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,8,0,0
2021,07/28/21,VII,1,4,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,6,0,0
2021,07/28/21,VII,2,3,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,8,0,0
2021,07/28/21,VII,3,4,0,0,0,4,0,1,0,0,0,3,1,0,0,0,0,6,0,0
2021,07/28/21,VIII,1,4,4,0,0,3,0,0,0,0,0,3,1,0,0,0,0,2,0,0
2021,07/28/21,VIII,2,4,0,0,0,1,0,0,0,0,1,2,8,0,0,0,0,4,0,0
2021,07/28/21,VIII,3,4,0,0,0,6,0,0,0,0,0,2,3,0,0,0,0,10,0,0
2021,08/11/21,I,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,08/11/21,I,2,4,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0
2021,08/11/21,I,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
2021,08/11/21,II,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2021,08/11/21,II,2,3,1,0,0,1,0,5,0,0,0,7,4,0,0,0,0,2,0,0
2021,08/11/21,II,3,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2021,08/11/21,III,1,4,0,0,0,1,0,2,0,0,0,6,2,0,0,0,0,1,0,0
2021,08/11/21,III,2,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,0,0
2021,08/11/21,III,3,4,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0
2021,08/11/21,IV,1,3,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0
2021,08/11/21,IV,2,4,3,0,0,0,0,1,0,0,0,5,0,0,0,0,0,3,0,0
2021,08/11/21,IV,3,3,2,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
2021,08/11/21,V,1,4,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0
2021,08/11/21,V,2,4,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2021,08/11/21,V,3,4,0,0,0,3,0,1,0,0,0,3,0,0,1,0,0,2,0,0
2021,08/11/21,VI,1,4,1,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
2021,08/11/21,VI,2,4,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0
2021,08/11/21,VI,3,4,0,0,0,1,0,1,0,0,0,5,1,0,1,0,0,3,0,0
2021,08/11/21,VII,1,4,5,0,0,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0
2021,08/11/21,VII,2,4,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,2,0,0
2021,08/11/21,VII,3,4,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,1,0,0
2021,08/11/21,VIII,1,4,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2021,08/11/21,VIII,2,4,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,2,0,0
2021,08/11/21,VIII,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2022,06/29/22,I,1,4,9,0,1,1,0,0,0,0,0,1,9,5,0,0,0,0,0,0
2022,06/29/22,I,2,4,0,0,10,0,0,1,0,0,0,4,16,1,0,0,0,1,0,0
2022,06/29/22,I,3,4,3,0,1,0,0,0,0,0,1,4,14,1,0,0,0,0,0,0
2022,06/29/22,II,1,4,2,0,11,0,0,0,0,0,1,3,42,1,0,0,0,0,0,0
2022,06/29/22,II,2,4,3,0,18,0,0,0,0,0,2,1,31,0,0,0,0,1,0,0
2022,06/29/22,II,3,4,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
2022,06/29/22,III,1,4,3,0,9,0,0,0,0,0,1,3,31,1,0,0,0,1,0,0
2022,06/29/22,III,2,4,9,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0
2022,06/29/22,III,3,4,1,0,0,0,0,0,0,0,0,3,20,2,1,0,0,0,0,0
2022,06/29/22,IV,1,4,2,0,10,2,0,2,0,0,0,1,20,1,2,0,0,1,0,0
2022,06/29/22,IV,2,4,1,0,21,1,0,0,0,0,0,0,40,0,0,0,0,2,0,0
2022,06/29/22,IV,3,4,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0
2022,06/29/22,V,1,4,1,0,16,0,0,0,0,0,0,2,46,2,0,0,0,0,0,0
2022,06/29/22,V,2,4,2,0,13,0,0,0,0,0,1,1,36,0,0,0,0,3,0,1
2022,06/29/22,V,3,4,1,0,0,1,0,0,0,0,0,1,21,1,0,0,0,0,0,0
2022,06/29/22,VI,1,4,2,0,20,0,1,0,0,0,0,2,40,2,0,0,0,2,0,0
2022,06/29/22,VI,2,4,4,0,27,1,0,2,0,0,0,0,42,2,0,0,0,0,0,0
2022,06/29/22,VI,3,4,1,0,1,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0
2022,06/29/22,VII,1,4,6,0,45,0,0,0,0,0,0,1,60,2,0,0,0,0,0,0
2022,06/29/22,VII,2,4,2,0,14,0,0,1,0,0,1,1,36,0,0,0,0,0,0,0
2022,06/29/22,VII,3,4,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,0,0
2022,06/29/22,VIII,1,4,2,0,12,2,0,0,0,0,0,1,30,0,0,0,0,0,0,0
2022,06/29/22,VIII,2,4,2,0,17,0,0,0,0,0,0,3,25,2,0,0,0,0,0,0
2022,06/29/22,VIII,3,4,0,0,9,1,0,0,0,0,0,0,31,2,0,0,0,0,0,0
2022,07/12/22,I,1,4,2,0,7,2,0,1,0,0,2,3,4,0,1,0,0,0,0,0
2022,07/12/22,I,2,4,2,0,0,1,0,0,0,0,0,2,4,0,1,0,0,3,0,0
2022,07/12/22,I,3,4,3,0,0,3,0,0,0,0,0,3,1,0,1,0,0,0,0,0
2022,07/12/22,II,1,4,3,0,7,0,0,0,0,0,1,5,8,0,0,0,1,0,0,0
2022,07/12/22,II,2,4,2,0,3,0,0,1,0,0,1,4,7,0,0,0,0,1,0,0
2022,07/12/22,II,3,4,7,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0
2022,07/12/22,III,1,4,2,0,0,1,0,0,0,0,0,8,9,0,1,0,0,1,0,0
2022,07/12/22,III,2,4,3,0,0,1,0,0,0,0,0,6,5,0,1,0,0,1,0,0
2022,07/12/22,III,3,4,0,0,2,0,0,0,0,0,0,5,6,0,2,0,0,2,0,0
2022,07/12/22,IV,1,4,2,0,4,0,0,0,0,0,1,3,9,0,1,0,0,1,0,0
2022,07/12/22,IV,2,4,0,0,0,0,0,0,0,0,0,4,8,0,1,0,0,1,0,0
2022,07/12/22,IV,3,4,4,0,0,1,0,0,0,0,0,8,4,0,0,0,0,0,0,0
2022,07/12/22,V,1,4,1,0,6,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0
2022,07/12/22,V,2,4,3,0,1,0,0,0,0,0,0,4,10,0,1,0,0,0,0,0
2022,07/12/22,V,3,4,1,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0
2022,07/12/22,VI,1,4,2,0,4,1,0,0,0,0,1,4,8,0,0,0,0,0,0,0
2022,07/12/22,VI,2,4,1,0,2,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0
2022,07/12/22,VI,3,4,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
2022,07/12/22,VII,1,4,1,0,3,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0
2022,07/12/22,VII,2,4,2,0,2,0,0,0,0,0,0,4,11,0,1,0,0,1,4,0
2022,07/12/22,VII,3,4,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0
2022,07/12/22,VIII,1,4,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0
2022,07/12/22,VIII,2,4,2,0,2,0,0,0,0,0,3,2,11,0,0,0,0,6,0,0
2022,07/12/22,VIII,3,4,2,0,0,0,0,0,0,0,1,7,10,0,0,0,0,2,0,0
2022,07/27/22,I,1,4,3,0,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0
2022,07/27/22,I,2,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
2022,07/27/22,I,3,4,2,0,0,0,0,0,0,0,0,8,5,0,0,0,0,2,0,0
2022,07/27/22,II,1,4,1,0,0,0,0,0,0,0,0,19,0,0,0,0,2,6,1,0
2022,07/27/22,II,2,4,2,0,0,0,0,0,0,0,0,10,3,0,0,0,0,2,0,0
2022,07/27/22,II,3,4,6,0,0,0,0,0,0,0,1,7,0,0,2,0,0,2,0,0
2022,07/27/22,III,1,4,4,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3,0,0
2022,07/27/22,III,2,4,4,0,0,1,0,0,0,0,0,6,3,0,0,0,0,12,0,0
2022,07/27/22,III,3,4,8,0,0,2,0,0,0,0,0,8,1,0,0,0,0,6,1,0
2022,07/27/22,IV,1,4,2,0,0,1,0,0,0,0,1,6,3,1,1,0,0,0,0,0
2022,07/27/22,IV,2,4,9,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0
2022,07/27/22,IV,3,4,4,0,0,1,0,0,0,0,0,11,0,0,0,0,1,9,0,0
2022,07/27/22,V,1,4,3,0,0,1,0,1,0,0,0,9,4,0,0,0,1,2,1,0
2022,07/27/22,V,2,4,2,0,0,2,0,1,0,0,0,3,4,2,1,0,0,2,0,0
2022,07/27/22,V,3,4,6,0,0,2,0,0,0,0,0,9,1,0,0,0,0,1,0,0
2022,07/27/22,VI,1,4,3,0,0,0,0,0,0,0,0,14,2,0,0,0,0,3,0,0
2022,07/27/22,VI,2,4,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,1,1,0
2022,07/27/22,VI,3,4,3,0,0,1,0,0,0,0,2,9,4,0,0,0,0,0,2,0
2022,07/27/22,VII,1,4,2,0,0,3,0,0,0,0,0,11,3,0,0,0,0,2,0,0
2022,07/27/22,VII,2,4,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0
2022,07/27/22,VII,3,4,3,0,0,1,0,0,0,0,0,4,2,0,0,0,0,6,0,0
2022,07/27/22,VIII,1,4,1,0,0,1,0,0,0,0,1,8,1,0,0,0,0,1,1,0
2022,07/27/22,VIII,2,4,1,0,0,0,0,0,0,0,0,15,3,0,0,0,1,1,0,0
2022,07/27/22,VIII,3,4,2,0,0,3,0,0,0,0,0,4,2,0,0,0,0,3,0,0
2022,08/10/22,I,1,4,1,0,0,3,0,2,0,0,1,3,5,0,0,0,0,5,0,0
2022,08/10/22,I,2,4,8,0,0,0,0,0,0,0,1,3,2,0,0,0,0,5,0,0
2022,08/10/22,I,3,4,2,0,0,1,0,0,0,0,1,6,4,0,1,0,0,8,0,0
2022,08/10/22,II,1,4,4,0,0,0,0,0,0,0,0,14,2,0,0,0,0,12,0,0
2022,08/10/22,II,2,4,4,0,0,0,0,2,0,0,0,4,6,1,0,0,0,15,0,0
2022,08/10/22,II,3,4,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
2022,08/10/22,III,1,4,6,0,0,1,0,0,0,0,0,7,4,0,0,0,0,18,0,0
2022,08/10/22,III,2,4,0,0,1,0,0,0,0,0,5,6,1,0,0,0,0,9,0,0
2022,08/10/22,III,3,4,1,0,0,0,0,0,0,0,0,12,4,0,0,0,1,8,0,0
2022,08/10/22,IV,1,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0
2022,08/10/22,IV,2,4,14,0,0,1,0,0,0,0,0,6,5,0,1,0,0,5,0,0
2022,08/10/22,IV,3,4,8,0,0,1,0,0,0,0,0,7,3,0,2,0,0,12,0,0
2022,08/10/22,V,1,4,5,0,0,0,0,0,0,0,0,5,4,0,1,0,1,10,0,0
2022,08/10/22,V,2,4,1,0,2,1,0,0,0,0,1,3,3,0,0,0,0,9,0,0
2022,08/10/22,V,3,4,4,0,0,1,0,1,0,0,1,9,0,0,0,0,2,11,0,0
2022,08/10/22,VI,1,4,6,0,0,0,0,0,0,0,0,5,3,0,1,0,0,9,0,0
2022,08/10/22,VI,2,4,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,6,0,0
2022,08/10/22,VI,3,4,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0
2022,08/10/22,VII,1,4,3,0,0,0,0,2,0,0,0,6,1,0,0,0,1,7,0,0
2022,08/10/22,VII,2,4,1,0,0,1,0,0,0,0,0,12,3,0,0,0,0,6,0,0
2022,08/10/22,VII,3,4,5,0,1,1,0,0,0,0,1,5,2,0,0,0,0,16,0,0
2022,08/10/22,VIII,1,4,5,0,0,1,0,0,0,0,1,4,2,0,1,0,0,6,0,0
2022,08/10/22,VIII,2,4,0,0,0,0,0,1,0,0,0,7,3,0,0,0,0,7,0,0
2022,08/10/22,VIII,3,4,1,0,0,0,0,2,0,0,0,5,0,0,1,0,0,10,0,0
2022,08/26/22,I,1,4,6,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0
2022,08/26/22,I,2,4,3,0,0,0,0,3,1,0,1,9,4,0,0,0,0,2,0,0
2022,08/26/22,I,3,4,2,0,0,0,0,3,0,0,1,5,5,0,0,0,1,2,0,0
2022,08/26/22,II,1,4,1,0,0,1,0,4,0,0,0,14,2,0,0,0,0,3,0,0
2022,08/26/22,II,2,4,1,0,0,0,0,3,2,0,0,20,2,0,1,0,0,2,0,0
2022,08/26/22,II,3,4,11,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2022,08/26/22,III,1,4,5,0,0,0,0,2,1,0,1,18,5,0,0,0,0,3,0,0
2022,08/26/22,III,2,4,3,0,0,0,0,3,0,0,1,6,1,0,0,0,0,0,0,0
2022,08/26/22,III,3,4,4,0,0,0,0,1,0,0,1,16,3,0,0,0,0,2,0,0
2022,08/26/22,IV,1,4,2,0,0,0,0,6,0,0,1,9,2,0,0,0,0,3,0,0
2022,08/26/22,IV,2,4,9,0,0,0,0,2,0,0,0,17,4,0,0,0,0,3,0,0
2022,08/26/22,IV,3,4,0,0,0,1,0,2,0,0,0,7,2,0,0,0,0,0,0,0
2022,08/26/22,V,1,4,2,0,0,1,0,1,2,0,0,20,4,0,0,0,1,2,0,0
2022,08/26/22,V,2,4,7,0,0,0,0,2,1,0,0,15,3,0,1,0,0,1,0,0
2022,08/26/22,V,3,4,4,0,0,0,0,3,0,0,1,13,4,0,0,0,0,2,0,0
2022,08/26/22,VI,1,4,1,0,0,0,0,2,2,0,0,18,0,0,1,0,0,1,0,0
2022,08/26/22,VI,2,4,7,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0
2022,08/26/22,VI,3,4,6,0,0,0,0,1,0,0,1,13,5,3,0,0,0,4,0,0
2022,08/26/22,VII,1,4,2,0,0,0,0,6,0,0,0,8,1,0,0,0,0,1,0,0
2022,08/26/22,VII,2,4,0,0,0,0,0,1,0,0,2,15,0,1,0,0,0,0,0,0
2022,08/26/22,VII,3,4,4,0,0,0,0,4,1,0,1,14,1,0,0,0,1,0,0,0
2022,08/26/22,VIII,1,4,3,0,0,4,0,3,1,0,1,7,0,0,1,0,0,2,0,0
2022,08/26/22,VIII,2,4,0,0,0,1,0,2,0,0,1,22,1,1,0,0,2,4,0,0
2022,08/26/22,VIII,3,4,1,0,0,1,0,4,0,0,0,8,1,0,0,0,0,0,0,0
2023,06/21/23,I,1,4,2,0,0,0,0,0,0,0,0,3,27,0,0,0,0,1,0,0
2023,06/21/23,I,2,4,0,0,0,1,0,2,0,0,0,2,7,0,0,0,0,1,0,0
2023,06/21/23,I,3,4,1,0,1,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0
2023,06/21/23,II,1,4,1,0,0,1,0,1,0,0,0,0,39,0,0,0,0,3,0,0
2023,06/21/23,II,2,4,0,0,0,1,0,2,0,0,0,3,20,0,0,0,0,1,0,0
2023,06/21/23,II,3,4,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,0,0,0
2023,06/21/23,III,1,4,3,0,1,3,0,0,0,0,0,2,31,0,0,0,0,1,0,0
2023,06/21/23,III,2,4,0,0,0,5,0,6,0,0,0,3,28,0,0,0,0,1,0,0
2023,06/21/23,III,3,4,0,0,0,0,0,1,0,0,0,5,34,1,0,0,0,0,0,0
2023,06/21/23,IV,1,4,2,0,0,3,0,0,0,0,0,3,35,0,0,0,0,3,0,0
2023,06/21/23,IV,2,4,0,0,0,2,0,0,0,0,0,1,33,1,0,0,0,1,0,0
2023,06/21/23,IV,3,4,0,0,0,2,0,0,0,0,0,3,27,0,0,0,0,0,0,0
2023,06/21/23,V,1,4,1,0,0,1,0,1,0,0,1,2,32,0,0,0,0,1,0,0
2023,06/21/23,V,2,4,0,0,0,4,0,2,0,0,0,4,26,1,0,0,0,2,0,0
2023,06/21/23,V,3,4,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0
2023,06/21/23,VI,1,4,0,0,0,7,0,3,0,0,0,2,27,0,0,0,0,0,0,0
2023,06/21/23,VI,2,4,0,0,0,3,0,0,0,0,0,3,14,0,0,0,0,2,0,0
2023,06/21/23,VI,3,4,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0,0,0,0
2023,06/21/23,VII,1,4,0,0,1,9,0,1,0,0,0,7,24,0,0,0,0,0,0,0
2023,06/21/23,VII,2,4,0,0,0,2,0,1,0,0,0,4,25,0,0,0,0,1,0,0
2023,06/21/23,VII,3,4,0,0,0,3,0,0,0,0,0,4,15,0,0,0,0,0,0,0
2023,06/21/23,VIII,1,4,1,0,6,2,0,2,0,0,0,3,23,0,0,0,0,2,0,0
2023,06/21/23,VIII,2,4,0,0,0,0,0,3,0,0,1,2,19,1,0,0,0,2,0,0
2023,06/21/23,VIII,3,4,3,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0
2023,07/05/23,I,1,4,12,0,0,6,0,3,0,0,1,1,8,0,0,0,0,0,0,0
2023,07/05/23,I,2,4,1,0,5,33,1,7,0,0,0,7,0,0,0,0,3,0,0,0
